기온분석
[검색조건]
자료구분 : 일
지역/지점 : 양평
기간 : 20130101~20151231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2013-02-16,202,-3.7,-10.9,2.5
2013-02-17,202,1.5,-4.6,6.6
2013-02-18,202,2.6,-0.9,5.6
2013-02-19,202,-1.3,-4.7,2.5
2013-02-20,202,-3.7,-9.3,1.5
2013-02-21,202,-1.7,-4.7,3.6
2013-02-22,202,-0.2,-5.2,5.6
2013-02-23,202,-1,-7,3.1
2013-02-24,202,0,-6.3,6.5
2013-02-25,202,1,-4.6,7.9
2013-02-26,202,2.9,-2,7.6
2013-02-27,202,5.4,0.2,11.8
2013-02-28,202,4.7,-3.6,13.2
2013-03-01,202,2.3,-1.5,9.9
2013-03-02,202,0.3,-3.6,5.8
2013-03-03,202,0.3,-5,6
2013-03-04,202,2,-3.2,8.7
2013-03-05,202,2.6,-3.8,11.1
2013-03-06,202,4.5,-3.3,13
2013-03-07,202,5.5,1.9,12.1
2013-03-08,202,8.1,3.2,16.2
2013-03-09,202,12.2,0.3,24.4
2013-03-10,202,3.7,-0.1,11.3
2013-03-11,202,3,-5.2,12.3
2013-03-12,202,5.4,-3,11.8
2013-03-13,202,7.1,3.9,11.1
2013-03-14,202,5.2,1,11
2013-03-15,202,4.5,-3.5,11.9
2013-03-16,202,6.2,-1.9,14.9
2013-03-17,202,7.3,-0.9,18
2013-03-18,202,9,5,16.6
2013-03-19,202,9.6,4.4,13.1
2013-03-20,202,4.5,-1.8,10.4
2013-03-21,202,1.9,-5.2,9.2
2013-03-22,202,2.5,-2.8,7
2013-03-23,202,5.2,-2.4,13.4
2013-03-24,202,6.1,0.9,12.1
2013-03-25,202,4.1,0.1,9.3
2013-03-26,202,4.2,-3.8,11.8
2013-03-27,202,7.4,-2.6,17.6
2013-03-28,202,7.4,0.4,14.7
2013-03-29,202,6.8,-0.3,12.2
2013-03-30,202,5.3,0.6,11.3
2013-03-31,202,6.5,0.1,13.8
2013-04-01,202,8.6,-0.8,16.4
2013-04-02,202,7.1,5.5,10.8
2013-04-03,202,8.6,2.9,15.6
2013-04-04,202,11.1,2.2,21.5
2013-04-05,202,14.2,5.4,23.2
2013-04-06,202,9,3.9,14.6
2013-04-07,202,5.7,2,10.8
2013-04-08,202,7,-1.3,15.9
2013-04-09,202,7.3,3.5,11.9
2013-04-10,202,4.8,-1.1,10
2013-04-11,202,5.9,2.2,9.1
2013-04-12,202,5.7,-1.9,12.6
2013-04-13,202,11,-1.6,20.2
2013-04-14,202,9.7,3.9,15.3
2013-04-15,202,5.2,-0.8,10.9
2013-04-16,202,13.8,3.7,24.2
2013-04-17,202,13.1,11,16.2
2013-04-18,202,12.8,8.6,17.8
2013-04-19,202,10.8,3.7,16.4
2013-04-20,202,6.5,3.9,11.1
2013-04-21,202,9.7,4.2,16.3
2013-04-22,202,11.3,2.5,19.4
2013-04-23,202,10.4,8.5,13.1
2013-04-24,202,13.9,9.3,20.2
2013-04-25,202,9.7,7.6,11.9
2013-04-26,202,10.9,6,16.9
2013-04-27,202,11.1,3.5,20.7
2013-04-28,202,14.5,5,22.5
2013-04-29,202,14.3,8.6,19.1
2013-04-30,202,13.2,4.4,21.3
2013-05-01,202,13.5,8.7,18.6
2013-05-02,202,11.5,6.1,17.8
2013-05-03,202,12.5,7.7,18.8
2013-05-04,202,13.4,6,21.4
2013-05-05,202,14.7,5.8,23
2013-05-06,202,15.3,6.1,24.2
2013-05-07,202,18.2,9,27.3
2013-05-08,202,18.8,10.6,28.4
2013-05-09,202,16.8,10.2,23.1
2013-05-10,202,15.2,12.8,17.1
2013-05-11,202,17.2,12.1,25.9
2013-05-12,202,19.5,12.9,26.4
2013-05-13,202,21.3,14.3,29.6
2013-05-14,202,19.2,12.7,26.4
2013-05-15,202,20.9,15.8,25.7
2013-05-16,202,21,13.6,28.6
2013-05-17,202,18.1,10.9,25.3
2013-05-18,202,17.8,13.1,25
2013-05-19,202,17,14.1,20.1
2013-05-20,202,15.8,11.2,20.9
2013-05-21,202,16.4,9.5,25
2013-05-22,202,17.2,10,25.1
2013-05-23,202,21.6,13,30.7
2013-05-24,202,21.5,14.9,29.7
2013-05-25,202,23.4,16.5,30.2
2013-05-26,202,23.8,19.2,28.5
2013-05-27,202,19.7,17.6,23.1
2013-05-28,202,19.2,17.7,20.6
2013-05-29,202,17,14.3,18.5
2013-05-30,202,18.5,13,27
2013-05-31,202,19.9,10.6,28.5
2013-06-01,202,20.8,15.4,28.5
2013-06-02,202,21.8,12.1,30.6
2013-06-03,202,21.7,15.2,28.4
2013-06-04,202,21.8,15.3,29.3
2013-06-05,202,23.9,16.5,31
2013-06-06,202,23.9,19.5,30.3
2013-06-07,202,24.5,17.5,31.5
2013-06-08,202,24.3,18.6,29.8
2013-06-09,202,24.5,18.5,31
2013-06-10,202,24.8,16.3,31.2
2013-06-11,202,22.5,19.5,26.7
2013-06-12,202,20.6,19.5,22.4
2013-06-13,202,23.5,19.3,28.6
2013-06-14,202,24.9,20.6,30
2013-06-15,202,25.1,21,30.3
2013-06-16,202,24.1,17.9,31.3
2013-06-17,202,22.9,19.2,27.8
2013-06-18,202,21.5,20.4,22.9
2013-06-19,202,23.7,19,29.9
2013-06-20,202,25.4,20,31
2013-06-21,202,25.2,21.1,31
2013-06-22,202,24.4,20.4,29.1
2013-06-23,202,23.3,20.4,27.1
2013-06-24,202,23.6,18.3,29.7
2013-06-25,202,23.8,19.9,30.1
2013-06-26,202,24.8,19.9,31.1
2013-06-27,202,24.6,19.3,31
2013-06-28,202,23.5,20.5,29.8
2013-06-29,202,24.9,18.5,31.9
2013-06-30,202,26.3,20.4,32.3
2013-07-01,202,26,21.2,31.3
2013-07-02,202,24.7,22.1,28.8
2013-07-03,202,26,21.1,31.8
2013-07-04,202,25.3,23.2,29
2013-07-05,202,25.1,22.3,28.8
2013-07-06,202,26.3,22.4,31.3
2013-07-07,202,24.6,21.4,29.4
2013-07-08,202,24.7,23.3,26.5
2013-07-09,202,26.1,24.5,28.3
2013-07-10,202,25.7,23.8,27.4
2013-07-11,202,24.9,24.2,26.4
2013-07-12,202,23.8,23.2,25
2013-07-13,202,24,22.2,26.8
2013-07-14,202,24.6,22.7,27.5
2013-07-15,202,24.9,22.7,29.1
2013-07-16,202,27.1,23.6,30.6
2013-07-17,202,24.6,23.1,26.8
2013-07-18,202,24.4,23.6,26.1
2013-07-19,202,26.3,23.1,30.7
2013-07-20,202,26.9,21.8,31.6
2013-07-21,202,26.8,24.5,31.5
2013-07-22,202,25.3,22.9,29.1
2013-07-23,202,25.3,24.3,26.6
2013-07-24,202,25.9,22.6,29.3
2013-07-25,202,25.4,21.3,31.2
2013-07-26,202,26.6,21.3,32.2
2013-07-27,202,25.8,21.3,31.5
2013-07-28,202,24.5,22.9,25.8
2013-07-29,202,27.3,23.8,32.2
2013-07-30,202,25.7,23,30.7
2013-07-31,202,27.1,23.4,32.1
2013-08-01,202,26.8,22.1,31.8
2013-08-02,202,25.8,23.5,29.6
2013-08-03,202,26.4,23.8,31.6
2013-08-04,202,26.1,24.4,29.9
2013-08-05,202,25.7,24.1,30.3
2013-08-06,202,24.9,22.1,27.4
2013-08-07,202,27.4,22.7,31.5
2013-08-08,202,28.4,24.9,33.6
2013-08-09,202,28.8,25.1,33.7
2013-08-10,202,25.7,23.5,28.2
2013-08-11,202,26.7,22.2,32
2013-08-12,202,28.3,24.5,33.3
2013-08-13,202,28.1,24.1,32.7
2013-08-14,202,27.5,23.7,32.6
2013-08-15,202,27.4,23.3,33.3
2013-08-16,202,27.5,24,32.6
2013-08-17,202,27.7,24.3,33.2
2013-08-18,202,27.9,24.5,33.7
2013-08-19,202,27.3,21.4,33.5
2013-08-20,202,25.4,19.5,33.1
2013-08-21,202,27.2,21.2,32.4
2013-08-22,202,28.7,25.6,34.2
2013-08-23,202,24.8,22.8,28.8
2013-08-24,202,25.6,21.3,32.1
2013-08-25,202,24.7,19.3,31.1
2013-08-26,202,25.5,20.4,32.2
2013-08-27,202,23.9,19.7,30.7
2013-08-28,202,24.7,20.7,30.7
2013-08-29,202,23.9,21.2,27.8
2013-08-30,202,25.1,20.3,30.6
2013-08-31,202,23.4,19.5,29.5
2013-09-01,202,22.5,18.1,27.8
2013-09-02,202,20.6,15.5,28
2013-09-03,202,19.5,14.3,26.7
2013-09-04,202,20.7,13.3,28.4
2013-09-05,202,19.3,13.7,23.9
2013-09-06,202,19.6,17.7,23.6
2013-09-07,202,20.7,17,27.3
2013-09-08,202,20.4,16,28
2013-09-09,202,21.4,16.3,27.5
2013-09-10,202,20.8,18.2,25.7
2013-09-11,202,20,18.3,21.3
2013-09-12,202,22.9,20.7,26.7
2013-09-13,202,22.4,20.5,24.6
2013-09-14,202,22.1,20.6,24.8
2013-09-15,202,22.6,16.5,29.1
2013-09-16,202,19.5,13.4,27.9
2013-09-17,202,20.5,13.8,29.2
2013-09-18,202,21.8,15.2,30.3
2013-09-19,202,22.1,17.1,28.6
2013-09-20,202,21.2,17.5,27.4
2013-09-21,202,22.2,17.6,28.9
2013-09-22,202,21.7,18.3,26.6
2013-09-23,202,21.2,15.4,27.8
2013-09-24,202,20.8,19.2,22.1
2013-09-25,202,21,16.8,26.1
2013-09-26,202,16.1,10.5,23.3
2013-09-27,202,15.5,7.8,23.6
2013-09-28,202,15.4,12.8,18.4
2013-09-29,202,16.5,14.4,18
2013-09-30,202,20.2,16.5,27
2013-10-01,202,19.7,14.1,26.5
2013-10-02,202,19,14.4,24.4
2013-10-03,202,15.1,9.1,21.8
2013-10-04,202,14.8,8.9,25
2013-10-05,202,17.5,10.2,28.3
2013-10-06,202,19.2,11.1,26.2
2013-10-07,202,21.4,17.1,26.6
2013-10-08,202,20.2,19.3,21.9
2013-10-09,202,20.1,15.6,26.1
2013-10-10,202,19.3,14.9,25.4
2013-10-11,202,17.8,11.7,22.7
2013-10-12,202,14.6,7.4,22.5
2013-10-13,202,14.2,8.7,22.5
2013-10-14,202,15.6,9.5,23.6
2013-10-15,202,13.1,9.3,16.5
2013-10-16,202,10.8,6,17.3
2013-10-17,202,9.5,3.7,18.1
2013-10-18,202,11,5.7,19.7
2013-10-19,202,12.6,6.6,20.9
2013-10-20,202,15,9.5,23
2013-10-21,202,14.8,9.4,22
2013-10-22,202,14.6,7.7,22.3
2013-10-23,202,14,7.6,22.5
2013-10-24,202,12.8,7.9,20.1
2013-10-25,202,9.7,4.5,15.5
2013-10-26,202,8.1,1.8,16.2
2013-10-27,202,7.9,2.4,16.3
2013-10-28,202,8.3,3.7,15.5
2013-10-29,202,10.3,5.5,16.4
2013-10-30,202,10.3,5.2,16.4
2013-10-31,202,9.5,4.4,18.4
2013-11-01,202,12.3,5.5,20.9
2013-11-02,202,11.3,9.3,12.9
2013-11-03,202,10.4,8.8,14.6
2013-11-04,202,11.4,7.7,18.1
2013-11-05,202,8.8,5,16.7
2013-11-06,202,9.1,4.8,12.9
2013-11-07,202,11.9,5.3,16.1
2013-11-08,202,6.6,0.9,13.3
2013-11-09,202,10.2,4.8,15.8
2013-11-10,202,7,2.3,11
2013-11-11,202,3.5,-1.4,8.5
2013-11-12,202,3.2,-3,9.4
2013-11-13,202,2.7,-4.1,11.3
2013-11-14,202,4,-0.5,8.9
2013-11-15,202,6.5,3.5,11.6
2013-11-16,202,4.5,2.4,7.5
2013-11-17,202,6,3,9.1
2013-11-18,202,2.1,-0.8,5.2
2013-11-19,202,1.6,-1.3,4.9
2013-11-20,202,0.9,-3.3,5.8
2013-11-21,202,0.7,-5.4,8.1
2013-11-22,202,2.2,-4.9,10.2
2013-11-23,202,3.1,-2,10.7
2013-11-24,202,5.2,-0.9,10.8
2013-11-25,202,5.4,1,11.5
2013-11-26,202,1.4,-4.4,7.1
2013-11-27,202,-0.2,-3.1,2.2
2013-11-28,202,-3.5,-7.7,0.3
2013-11-29,202,-1.6,-7.1,5.3
2013-11-30,202,1.6,-4.4,8.3
2013-12-01,202,2.2,-2.3,9.2
2013-12-02,202,0.1,-4,3.4
2013-12-03,202,4.1,0.6,10.6
2013-12-04,202,1.4,-1.8,6.1
2013-12-05,202,2,-0.3,4.6
2013-12-06,202,2.6,-2.2,7.9
2013-12-07,202,3.4,-0.7,10.3
2013-12-08,202,1.9,-1.9,6.6
2013-12-09,202,3.1,1.3,4.6
2013-12-10,202,0.9,-2.5,4.3
2013-12-11,202,-1.2,-3.7,1.5
2013-12-12,202,-2.9,-7.8,1.3
2013-12-13,202,-6.7,-11,-2.8
2013-12-14,202,-6.6,-11.8,-1.1
2013-12-15,202,-6.3,-11.6,1.6
2013-12-16,202,-5.3,-10.8,0.3
2013-12-17,202,-1.7,-7.6,5.6
2013-12-18,202,1.8,-2.6,8.7
2013-12-19,202,-2.3,-6,1.1
2013-12-20,202,-4.4,-6.9,-0.1
2013-12-21,202,-4.1,-9,2.5
2013-12-22,202,-4.1,-10.2,1.3
2013-12-23,202,-0.8,-4.7,4.4
2013-12-24,202,-3.7,-8.5,3.6
2013-12-25,202,-2.9,-8.7,3.5
2013-12-26,202,-0.4,-3.2,2.3
2013-12-27,202,-4.6,-7.2,-2.4
2013-12-28,202,-6.9,-12.6,-1.5
2013-12-29,202,-4.7,-12.2,0.5
2013-12-30,202,-0.4,-5.7,7.4
2013-12-31,202,2.4,-4.8,8.6
2014-01-01,202,3.6,-3.7,8.8
2014-01-02,202,0.8,-4.3,7.4
2014-01-03,202,-0.1,-5,5.4
2014-01-04,202,-0.3,-5.1,5.9
2014-01-05,202,-0.7,-5.1,5.4
2014-01-06,202,-1.5,-6.9,6
2014-01-07,202,-0.2,-3.6,2.9
2014-01-08,202,1.1,-3.6,5.6
2014-01-09,202,-6.6,-10.1,-2.8
2014-01-10,202,-6.3,-12,0.4
2014-01-11,202,-2.5,-7.9,3.1
2014-01-12,202,-3,-6.6,3.5
2014-01-13,202,-5.7,-12.5,0.1
2014-01-14,202,-5.5,-12.5,2.2
2014-01-15,202,-4.5,-11.6,2.8
2014-01-16,202,-3.1,-7.9,0.4
2014-01-17,202,-2.8,-7.5,4.1
2014-01-18,202,-1.9,-5.7,2.8
2014-01-19,202,-4,-11,1.4
2014-01-20,202,-2.1,-3.6,0.4
2014-01-21,202,-4.5,-6.6,-1.7
2014-01-22,202,-5.7,-10.6,0.9
2014-01-23,202,-4.8,-11.2,2.5
2014-01-24,202,-0.5,-5.9,3.7
2014-01-25,202,2.5,0.6,5
2014-01-26,202,-1.1,-5.3,3.5
2014-01-27,202,-2.7,-8.9,4.8
2014-01-28,202,1.1,-3.9,6.7
2014-01-29,202,-0.7,-8.7,7.4
2014-01-30,202,1.4,-1,5.8
2014-01-31,202,-0.3,-5.9,6.3
2014-02-01,202,2.2,0.1,3.4
2014-02-02,202,4.4,2.8,6.5
2014-02-03,202,-1.7,-7,3.9
2014-02-04,202,-6.5,-9.9,-3.1
2014-02-05,202,-5.7,-9.8,-0.7
2014-02-06,202,-2.4,-7,4.2
2014-02-07,202,1.6,-4.5,7.9
2014-02-08,202,1.4,-0.1,4.4
2014-02-09,202,0,-1.4,3.3
2014-02-10,202,0,-2.6,4.4
2014-02-11,202,-1.3,-6.4,4.7
2014-02-12,202,0.2,-4.5,6.5
2014-02-13,202,1.6,-3.8,6.5
2014-02-14,202,1.6,-2.8,6.9
2014-02-15,202,1.8,-4.4,9.4
2014-02-16,202,1.9,-4,9.7
2014-02-17,202,4.1,-1.1,9.5
2014-02-18,202,2.5,-1.6,6.4
2014-02-19,202,0.6,-4.6,6
2014-02-20,202,0.2,-4.6,5.6
2014-02-21,202,0.4,-5.7,7.3
2014-02-22,202,0.8,-5.7,8.4
2014-02-23,202,1.9,-4.6,9.8
2014-02-24,202,2.7,-3.4,10.4
2014-02-25,202,4,-2.6,13.3
2014-02-26,202,5,-2.3,14.8
2014-02-27,202,6.8,-1,14.9
2014-02-28,202,6.6,0.5,13.4
2014-03-01,202,7.5,4.5,11.8
2014-03-02,202,5,-1.1,11.4
2014-03-03,202,3.8,-3.9,11.9
2014-03-04,202,4.9,-2.5,12.5
2014-03-05,202,2.9,-0.3,7
2014-03-06,202,0.8,-5,5.7
2014-03-07,202,0,-6.3,6.2
2014-03-08,202,0.9,-5,7.6
2014-03-09,202,1.8,-1.4,6.8
2014-03-10,202,1.6,-6,8.6
2014-03-11,202,2.9,-4.8,12.2
2014-03-12,202,3.8,-2,8.6
2014-03-13,202,5,2.2,8.2
2014-03-14,202,2.9,-3.7,9.7
2014-03-15,202,5.2,-3.5,14.7
2014-03-16,202,10,3.2,18.1
2014-03-17,202,11.7,2.4,20.4
2014-03-18,202,12.5,8.3,17.1
2014-03-19,202,8.2,5.4,10.9
2014-03-20,202,5.9,2.3,12.2
2014-03-21,202,5.1,-0.5,11.7
2014-03-22,202,6.7,-2.4,16.3
2014-03-23,202,8.8,0.2,18.7
2014-03-24,202,9.9,0.1,17.9
2014-03-25,202,14.7,10.4,19.3
2014-03-26,202,15.4,10,23
2014-03-27,202,13.3,4.7,22.5
2014-03-28,202,15.7,7.9,23.8
2014-03-29,202,13.3,9.6,17.3
2014-03-30,202,14.1,9.2,20.5
2014-03-31,202,12.8,4.7,21.2
2014-04-01,202,14.3,4.1,23.7
2014-04-02,202,15,6,23.2
2014-04-03,202,9.4,4.7,15.3
2014-04-04,202,7.3,2.2,12.5
2014-04-05,202,4.8,-0.6,11.2
2014-04-06,202,7.6,0.7,13.9
2014-04-07,202,9.8,0.8,20
2014-04-08,202,12,1.5,21.5
2014-04-09,202,11.8,3.2,21.5
2014-04-10,202,12.6,7,19.1
2014-04-11,202,14.1,7.3,20.9
2014-04-12,202,14.2,10.5,18.8
2014-04-13,202,15.7,11.1,23
2014-04-14,202,15.3,6.5,24.3
2014-04-15,202,14.5,6.3,22.5
2014-04-16,202,14.1,11.2,19.6
2014-04-17,202,13.8,7.4,20.7
2014-04-18,202,15.4,10.6,22.7
2014-04-19,202,13.6,10.4,18
2014-04-20,202,14.5,8,22.2
2014-04-21,202,14.9,7.8,22.6
2014-04-22,202,15.3,5.9,23.7
2014-04-23,202,16,5.4,25.3
2014-04-24,202,17,8.2,26.3
2014-04-25,202,17,7.2,26.9
2014-04-26,202,17.2,9,24.7
2014-04-27,202,15.6,13.6,18.8
2014-04-28,202,14.3,13,16.9
2014-04-29,202,15.8,12.9,18.5
2014-04-30,202,16.2,12.3,20.6
2014-05-01,202,16.3,9.4,24.7
2014-05-02,202,15.2,8.1,25.1
2014-05-03,202,14.3,8.8,20.9
2014-05-04,202,11.7,5.9,20.9
2014-05-05,202,11.2,4.6,16.3
2014-05-06,202,12.3,4.4,20
2014-05-07,202,14.7,3.8,23.6
2014-05-08,202,15,10.5,19.6
2014-05-09,202,15.1,9.1,23.4
2014-05-10,202,17.9,8.5,27.8
2014-05-11,202,17.5,10,25.4
2014-05-12,202,17.4,14.5,21.8
2014-05-13,202,18.9,10.6,28.2
2014-05-14,202,20,13.7,28
2014-05-15,202,19.2,14.6,24.8
2014-05-16,202,18.5,9.2,26.7
2014-05-17,202,19.1,10.9,26.5
2014-05-18,202,19.3,10.9,26.1
2014-05-19,202,19.4,11.5,27.6
2014-05-20,202,20.3,14,27.8
2014-05-21,202,20.4,13.8,27.8
2014-05-22,202,20.8,12.2,29.9
2014-05-23,202,22,17.3,27.7
2014-05-24,202,21.4,16.5,27.4
2014-05-25,202,19.9,18,25
2014-05-26,202,20.2,15,25.3
2014-05-27,202,21.4,11.4,30.5
2014-05-28,202,23.6,15.9,30.7
2014-05-29,202,23.4,15.9,31.3
2014-05-30,202,23.3,14.4,32
2014-05-31,202,25.4,16.7,34.4
2014-06-01,202,24.2,17.9,30.2
2014-06-02,202,21.7,19.9,24.5
2014-06-03,202,19.7,17.5,21.5
2014-06-04,202,23,18.2,27.9
2014-06-05,202,22.1,18.4,25.1
2014-06-06,202,23.6,15.4,31.4
2014-06-07,202,23.5,17.6,29.3
2014-06-08,202,22.2,19.7,26.8
2014-06-09,202,23.3,17.9,29.2
2014-06-10,202,22.7,18.2,29.2
2014-06-11,202,20.7,17.6,25.9
2014-06-12,202,21.1,15.2,28.2
2014-06-13,202,20.3,16.9,26.4
2014-06-14,202,22.6,17.6,29.5
2014-06-15,202,23.1,15.9,30.6
2014-06-16,202,23.5,15.9,30.1
2014-06-17,202,23.6,18.8,28.9
2014-06-18,202,24.4,18.8,30
2014-06-19,202,22.8,19.8,27.4
2014-06-20,202,23.5,18.3,28.8
2014-06-21,202,21.5,18.9,27.8
2014-06-22,202,22.4,18.9,29.6
2014-06-23,202,20.9,18.7,25.4
2014-06-24,202,22.4,18.4,27.4
2014-06-25,202,23.2,17.8,29.3
2014-06-26,202,24.7,19.3,30.7
2014-06-27,202,24.9,19.3,30.6
2014-06-28,202,23.8,20.7,29.7
2014-06-29,202,24.5,20.5,29.5
2014-06-30,202,24.7,19.9,31
2014-07-01,202,25.4,18.9,32.2
2014-07-02,202,25.6,22.2,30.4
2014-07-03,202,23,21.4,25.4
2014-07-04,202,26.2,21,32.6
2014-07-05,202,24.8,19.2,29.6
2014-07-06,202,23.4,20.2,27.1
2014-07-07,202,25.9,17.9,34.1
2014-07-08,202,26.7,23.2,31
2014-07-09,202,26.2,24.1,33.1
2014-07-10,202,28.3,23.7,34.2
2014-07-11,202,27,20.1,34.4
2014-07-12,202,25.2,20.3,29.9
2014-07-13,202,25.7,22.3,31.3
2014-07-14,202,26.3,21.4,32.5
2014-07-15,202,25.7,20.8,31.7
2014-07-16,202,26.2,21.9,30.4
2014-07-17,202,26.2,22.1,30.5
2014-07-18,202,25.5,21,30.2
2014-07-19,202,27.3,23.4,31.7
2014-07-20,202,28,23.3,35
2014-07-21,202,27.5,23,32.9
2014-07-22,202,25.8,23.5,30.1
2014-07-23,202,23.1,20.7,26.6
2014-07-24,202,21.5,19.2,24.7
2014-07-25,202,27.2,21.6,34.3
2014-07-26,202,23.8,21,28.2
2014-07-27,202,23.9,20.3,29.4
2014-07-28,202,25,18.9,30.7
2014-07-29,202,24.3,21.3,28.3
2014-07-30,202,26.7,21.6,32.5
2014-07-31,202,26.6,23.8,33.8
2014-08-01,202,28.2,22.9,33.4
2014-08-02,202,29.9,25.9,34.5
2014-08-03,202,26.2,23.9,29.9
2014-08-04,202,26.1,24.1,29.2
2014-08-05,202,27.3,24.7,31
2014-08-06,202,24.7,22.6,26.5
2014-08-07,202,23.4,21.4,25.8
2014-08-08,202,25,19.3,30
2014-08-09,202,25.4,18.9,30.6
2014-08-10,202,24.1,20.1,28.7
2014-08-11,202,23.1,18,29.1
2014-08-12,202,25.1,20.9,30.9
2014-08-13,202,22.7,20.4,26.8
2014-08-14,202,20.7,19.7,22.4
2014-08-15,202,24.6,20.1,29.7
2014-08-16,202,25.5,21.9,31.4
2014-08-17,202,22.8,21.6,25
2014-08-18,202,22,20.1,24.8
2014-08-19,202,22.3,20.3,24.7
2014-08-20,202,24.6,21.9,28.2
2014-08-21,202,22.4,20.7,24.8
2014-08-22,202,24.4,20.4,29.7
2014-08-23,202,24.4,21.4,28.9
2014-08-24,202,24.5,20.7,30.1
2014-08-25,202,25,22.4,28.6
2014-08-26,202,24.1,20.2,28.7
2014-08-27,202,23.2,19.1,28.7
2014-08-28,202,22.7,17.1,29
2014-08-29,202,23.2,18.1,29.8
2014-08-30,202,23.1,17.9,29.1
2014-08-31,202,21.3,17,27.1
2014-09-01,202,22.8,17.1,29.3
2014-09-02,202,22.2,19,27.5
2014-09-03,202,19.8,18,21.6
2014-09-04,202,22.7,18.8,28.4
2014-09-05,202,22.5,17.4,29.7
2014-09-06,202,23.4,18.6,31.2
2014-09-07,202,23.2,17.7,31.1
2014-09-08,202,22.9,18.4,30
2014-09-09,202,21.4,15.7,27.8
2014-09-10,202,20,13.7,28
2014-09-11,202,20.5,14.4,29
2014-09-12,202,20.1,15,25.3
2014-09-13,202,21.4,16.8,28.4
2014-09-14,202,20.7,14.2,27.6
2014-09-15,202,22,18,28
2014-09-16,202,20.2,13.7,26.8
2014-09-17,202,19.2,16,23
2014-09-18,202,17.9,13.4,24.9
2014-09-19,202,17.6,11.6,26.8
2014-09-20,202,18,10.6,26.8
2014-09-21,202,17.4,12.3,23.4
2014-09-22,202,18.8,12.3,27.9
2014-09-23,202,20.5,13.5,27.5
2014-09-24,202,18.3,15.9,22.7
2014-09-25,202,19.9,15.1,27.2
2014-09-26,202,19.9,15.2,25.2
2014-09-27,202,20.4,15.4,25.7
2014-09-28,202,20.5,16.3,25.1
2014-09-29,202,19.2,17.9,20.6
2014-09-30,202,18.8,15.5,23.3
2014-10-01,202,18.1,14.2,22.9
2014-10-02,202,18,15.1,21.5
2014-10-03,202,16.4,11.4,20.8
2014-10-04,202,15.8,10.6,22.6
2014-10-05,202,15.6,9,22.5
2014-10-06,202,14.7,7.9,21.8
2014-10-07,202,14.2,7.9,21.8
2014-10-08,202,13.7,7.7,22.7
2014-10-09,202,15.4,8.6,25.7
2014-10-10,202,17.6,9.1,26.6
2014-10-11,202,17.6,11,26.5
2014-10-12,202,18,10.1,27.1
2014-10-13,202,16.8,9.7,21.3
2014-10-14,202,11.7,5.7,19.7
2014-10-15,202,11.2,4.2,19.6
2014-10-16,202,11.7,6.3,19.1
2014-10-17,202,9.8,1.3,19.9
2014-10-18,202,11.5,4,21.5
2014-10-19,202,13.7,7.7,20.7
2014-10-20,202,13.5,12.1,14.8
2014-10-21,202,13.9,11.4,16.3
2014-10-22,202,12.8,7.8,16.5
2014-10-23,202,10.9,6.2,18.5
2014-10-24,202,11.6,6.9,18.7
